point_A;point_B;distance
Никель;Мурмаши;173
Мурмаши;Ваенга;54
Мурмаши;Оленегорск;115
Оленегорск;Мончегорск;31
Оленегорск;Апатиты-1;79
Апатиты-1;Титан;19
Апатиты-1;Пинозеро;72
Пинозеро;Ковдор;117
Пинозеро;Ручьи Карельские;45
Ручьи Карельские;Алакурти;109
Ручьи Карельские;Лоухи;147
Лоухи;Пяозеро;102
Лоухи;Беломорск;218
Беломорск;Маленьга;128
Беломорск;Кочкома;70
Кочкома;Ледмозеро;714
Ледмозеро;Юшкозеро;64
Ледмозеро;Кивиярви;119
Ледмозеро;Брусничная;132
Брусничная;Лендеры;61
Брусничная;Суоярви 1;147
Суоярви 1;Томицы;149
Кочкома;Томицы;293
Томицы;Лодейное Поле;169
Суоярви 1;Янисъярви;83
Янисъярви;Лодейное Поле;219
Лодейное Поле;Волховстрой 2;118
Янисъярви;Маткаселька;24
Маткаселькя;Вяртсиля;25
Маткаселькя;Элисенваара;102
Элисенваара;Сювяоро;13
Элисенваара;Хийтола;21
Хийтола;Каменногорск;53
Каменногорск;Светогорск;26
Каменногорск;Выборг;40
Выборг;Бусловская;28
Выборг;Вещево;26
Выборг;Попово;19
Попово;Высоцк;11
Попово;Ушково;97
Выборг;Ушково;75
Ушково;Белоостров;23
Белоостров;Ланская;26
Хийтола;Токсово;149
Токсово;Ланская;42
Ланская;Ладожское озеро;66
Ланская;Невская Дубровка;74
Ланская;Предпортовая;25
Ланская;Новолисино;54
Новолисино;Тосно;96
Новолисино;Великий Новгород;127
Великий Новгород;Батецкая;60
Великий Новгород;Чудово-Московское;74
Предпортовая;Лигово;5
Лигово;Лебяжье;48
Лебяжье;Котлы;59
Котлы;Лужская;25
Котлы;Лужская-Эксп;25
Котлы;Веймарн;27
Веймарн;Сланцы;58
Веймарн;Ивангород-Нарвский;35
Веймарн;Гатчина-Товарная-Балтийская;74
Гатчина-Товарная-Балтийская;Лигово;35
Гатчина-Товарная-Балтийская;Предпортовая;61
Гатчина-Товарная-Балтийская;Фрезерный;4
Фрезерный;Новолисино;22
Фрезерный;Вырица;36
Вырица;Поселок;7
Вырица;Батецкая;88
Гатчина-Товарная-Балтийская;Луга 1;95
Луга 1;Батецкая;36
Луга 1;Березки;140
Березки;Печоры-Псковские;49
Березки;Скангали;125
Березки;Дно;96
Дно;Батецкая;272
Дно;Валдай;207
Валдай;Бологое-Московское;50
Бологое-Московское;Угловка;50
Бологое-Московское;Лихославль;122
Бологое-Московское;Соблаго;154
Соблаго;Торжок;165
Соблаго;Великие Луки;156
Великие Луки;Невель 1;53
Великие Луки;Новосокольники;29
Великие Луки;Земцы;119
Земцы;Жарковский;47
Земцы;Муриково;198
Земцы;Торжок;231
Новосокольники;Посинь;134
Новосокольники;Дно;176
Невель 1;Невель 2;2
Невель 2;Завережье;21
Невель 1;Клястица;51
Торжок;Лихославль;33
Лихославль;Васильевский Мох;55
Лихославль;Решетниково;104
Решетниково;Конаково ГРЭС;36
Решетниково;Ховрино;92
Угловка;Боровичи;30
Ланская;Обухово;25
Обухово;Мга;38
Обухово;Тосно;42
Обухово;Предпортовая;25
Волховстрой 2;Волховстрой 1;3
Волховстрой 1;Мга;72
Мга;Андреево;76
Волховстрой 1;Андреево;49
Волховстрой 2;Тихвин;75
Тихвин;Будогощь;183
Андреево;Будогощь;56
Тихвин;Подборовье;96
Будогощь;Неболчи;56
Неболчи;Кабожа;111
Подборовье;Кабожа;94
Подборовье;Кошта;170
Кабожа;Овинище 2;128
Овинище 2;Весьегонск;42
Овинище 2;Сонково;72
Сонково;Калязин-Пост;75
Сонково;Бологое-Московское;193
Калязин-Пост;Углич;48
Калязин-Пост;Савелово;53
Мга;Тосно;45
Чудово-Московское;Тосно;65
Чудово-Московское;Андреево;60
Чудово-Московское;Окуловка;131
Окуловка;Неболчи;103
